case_id,domain,complaint_text,duration,expected_priority,acceptable_priorities,accepted_specialties,expected_orientation,clinical_rationale
B06-123,Médecin généraliste,"symptômes généraux léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecin généraliste,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-124,Médecine du travail,symptômes liés au travail récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecine du travail|Médecin généraliste,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-125,Médecine du travail,"symptômes liés au travail persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecine du travail|Médecin généraliste,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-126,Médecine du travail,"symptômes liés au travail léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecine du travail|Médecin généraliste,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-127,Médecine du sport,blessure sportive récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecine du sport|Orthopédie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-128,Médecine du sport,"blessure sportive persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecine du sport|Orthopédie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-129,Médecine du sport,"blessure sportive léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecine du sport|Orthopédie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-130,Médecine physique et réadaptation,limitation fonctionnelle récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Médecine physique et réadaptation,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-131,Médecine physique et réadaptation,"limitation fonctionnelle persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Médecine physique et réadaptation,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-132,Médecine physique et réadaptation,"limitation fonctionnelle léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Médecine physique et réadaptation,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-133,Soins palliatifs,symptômes d'une maladie avancée récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Soins palliatifs|Médecin généraliste,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-134,Soins palliatifs,"symptômes d'une maladie avancée persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Soins palliatifs|Médecin généraliste,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-135,Soins palliatifs,"symptômes d'une maladie avancée léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Soins palliatifs|Médecin généraliste,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-136,Nutrition,perte de poids ou apport insuffisant récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Nutrition|Médecin généraliste,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-137,Nutrition,"perte de poids ou apport insuffisant persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Nutrition|Médecin généraliste,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-138,Nutrition,"perte de poids ou apport insuffisant léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Nutrition|Médecin généraliste,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-139,Maladies métaboliques,symptômes métaboliques récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Endocrinologie|Médecine interne,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-140,Maladies métaboliques,"symptômes métaboliques persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Endocrinologie|Médecine interne,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-141,Maladies métaboliques,"symptômes métaboliques léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Endocrinologie|Médecine interne,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-142,Hypertension artérielle,pression artérielle élevée récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Cardiologie|Médecine interne|Médecin généraliste,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-143,Hypertension artérielle,"pression artérielle élevée persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Cardiologie|Médecine interne|Médecin généraliste,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-144,Hypertension artérielle,"pression artérielle élevée léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Cardiologie|Médecine interne|Médecin généraliste,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-145,Troubles du rythme,palpitations récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Cardiologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-146,Troubles du rythme,"palpitations persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Cardiologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-147,Troubles du rythme,"palpitations léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Cardiologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-148,Insuffisance cardiaque,dyspnée et œdèmes récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Cardiologie|Médecine interne,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-149,Insuffisance cardiaque,"dyspnée et œdèmes persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Cardiologie|Médecine interne,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-150,Insuffisance cardiaque,"dyspnée et œdèmes léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Cardiologie|Médecine interne,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-151,Maladie coronarienne,douleur thoracique d'effort récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Cardiologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-152,Maladie coronarienne,"douleur thoracique d'effort persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Cardiologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-153,Maladie coronarienne,"douleur thoracique d'effort léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Cardiologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-154,Maladies cérébrovasculaires,"Visage dévié, faiblesse d'un côté et parole difficile apparus il y a 20 minutes.",Moins de 24 heures,P1,P1,Neurologie|Médecine d’urgence,Urgences / évaluation immédiate,Signes focaux brutaux compatibles avec AVC.
B06-155,Maladies cérébrovasculaires,Épisode de faiblesse d'un bras et trouble de parole ayant duré 10 minutes puis disparu.,Moins de 24 heures,P1,P1|P2,Neurologie|Médecine d’urgence,Urgences / évaluation immédiate,AIT possible nécessitant évaluation urgente.
B06-156,Maladies cérébrovasculaires,"Suivi après ancien AVC, symptômes stables depuis plusieurs mois, aucune aggravation récente.",Plus d'une semaine,P3,P3,Neurologie,Consultation non urgente / programmée,Suivi chronique stable.
B06-157,Épileptologie,Deux convulsions rapprochées aujourd'hui sans récupération complète entre les crises.,Moins de 24 heures,P1,P1,Neurologie|Médecine d’urgence,Urgences / évaluation immédiate,Crises répétées avec récupération incomplète.
B06-158,Épileptologie,"Première crise convulsive hier, actuellement complètement réveillé et sans nouveau symptôme.",1 à 3 jours,P2,P2,Neurologie,Consultation médicale prioritaire,Première crise nécessitant évaluation rapide.
B06-159,Épileptologie,"Épilepsie connue, aucun épisode depuis six mois, demande de suivi.",Plus d'une semaine,P3,P3,Neurologie,Consultation non urgente / programmée,Suivi programmé d'épilepsie stable.
B06-160,Céphalées,céphalée récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Neurologie|Médecin généraliste,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-161,Céphalées,"céphalée persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Neurologie|Médecin généraliste,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-162,Céphalées,"céphalée léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Neurologie|Médecin généraliste,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-163,Troubles neuromusculaires,faiblesse musculaire récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Neurologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-164,Troubles neuromusculaires,"faiblesse musculaire persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Neurologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-165,Troubles neuromusculaires,"faiblesse musculaire léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Neurologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-166,Pneumologie infectieuse,toux et fièvre récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Pneumologie|Infectiologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-167,Pneumologie infectieuse,"toux et fièvre persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Pneumologie|Infectiologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-168,Pneumologie infectieuse,"toux et fièvre léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Pneumologie|Infectiologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-169,Asthme,sifflements et oppression récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Pneumologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-170,Asthme,"sifflements et oppression persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Pneumologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-171,Asthme,"sifflements et oppression léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Pneumologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-172,BPCO,aggravation respiratoire chronique récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Pneumologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-173,BPCO,"aggravation respiratoire chronique persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Pneumologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-174,BPCO,"aggravation respiratoire chronique léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Pneumologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-175,Tuberculose,"toux prolongée avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Pneumologie|Infectiologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-176,Tuberculose,"toux prolongée depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Pneumologie|Infectiologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-177,Tuberculose,"toux prolongée léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Pneumologie|Infectiologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-178,Pathologies pleurales,douleur pleurale récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Pneumologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-179,Pathologies pleurales,"douleur pleurale persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Pneumologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-180,Pathologies pleurales,"douleur pleurale léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Pneumologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-181,Maladies diarrhéiques,diarrhée récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Gastro-entérologie|Infectiologie|Médecin généraliste,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-182,Maladies diarrhéiques,"diarrhée persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Gastro-entérologie|Infectiologie|Médecin généraliste,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-183,Maladies diarrhéiques,"diarrhée léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Gastro-entérologie|Infectiologie|Médecin généraliste,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-184,Maladies inflammatoires intestinales,diarrhée chronique récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Gastro-entérologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-185,Maladies inflammatoires intestinales,"diarrhée chronique persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Gastro-entérologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-186,Maladies inflammatoires intestinales,"diarrhée chronique léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Gastro-entérologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-187,Pathologie biliaire,douleur de l'hypochondre droit récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Gastro-entérologie|Chirurgie générale,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-188,Pathologie biliaire,"douleur de l'hypochondre droit persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Gastro-entérologie|Chirurgie générale,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-189,Pathologie biliaire,"douleur de l'hypochondre droit léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Gastro-entérologie|Chirurgie générale,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-190,Insuffisance rénale,baisse de la fonction rénale récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Néphrologie|Médecine interne,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-191,Insuffisance rénale,"baisse de la fonction rénale persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Néphrologie|Médecine interne,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-192,Insuffisance rénale,"baisse de la fonction rénale léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Néphrologie|Médecine interne,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-193,Infections urinaires,brûlures urinaires récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Urologie|Médecin généraliste,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-194,Infections urinaires,"brûlures urinaires persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Urologie|Médecin généraliste,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-195,Infections urinaires,"brûlures urinaires léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Urologie|Médecin généraliste,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-196,Santé sexuelle,symptômes après rapport sexuel récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Gynécologie-obstétrique|Urologie|Infectiologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-197,Santé sexuelle,"symptômes après rapport sexuel persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Gynécologie-obstétrique|Urologie|Infectiologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-198,Santé sexuelle,"symptômes après rapport sexuel léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Gynécologie-obstétrique|Urologie|Infectiologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-199,Infertilité,difficulté à concevoir récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Gynécologie-obstétrique|Urologie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-200,Infertilité,"difficulté à concevoir persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Gynécologie-obstétrique|Urologie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-201,Infertilité,"difficulté à concevoir léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Gynécologie-obstétrique|Urologie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-202,Grossesse à risque,signes d'alerte pendant grossesse d'apparition aiguë avec altération importante de l'état général.,Moins de 24 heures,P1,P1,Gynécologie-obstétrique|Médecine d’urgence,Urgences / évaluation immédiate,Tableau aigu à potentiel critique.
B06-203,Grossesse à risque,"signes d'alerte pendant grossesse récent et significatif, sans signe de détresse immédiate.",1 à 3 jours,P2,P2,Gynécologie-obstétrique,Consultation médicale prioritaire,Tableau aigu nécessitant évaluation prioritaire.
B06-204,Grossesse à risque,"signes d'alerte pendant grossesse stable, connu, sans aggravation depuis plusieurs semaines.",Plus d'une semaine,P3,P3,Gynécologie-obstétrique,Consultation non urgente / programmée,Problème stable nécessitant suivi programmé.
B06-205,Médecine materno-fœtale,problème lié au bien-être fœtal d'apparition aiguë avec altération importante de l'état général.,Moins de 24 heures,P1,P1,Gynécologie-obstétrique|Médecine d’urgence,Urgences / évaluation immédiate,Tableau aigu à potentiel critique.
B06-206,Médecine materno-fœtale,"problème lié au bien-être fœtal récent et significatif, sans signe de détresse immédiate.",1 à 3 jours,P2,P2,Gynécologie-obstétrique,Consultation médicale prioritaire,Tableau aigu nécessitant évaluation prioritaire.
B06-207,Médecine materno-fœtale,"problème lié au bien-être fœtal stable, connu, sans aggravation depuis plusieurs semaines.",Plus d'une semaine,P3,P3,Gynécologie-obstétrique,Consultation non urgente / programmée,Problème stable nécessitant suivi programmé.
B06-208,Urgences pédiatriques,enfant avec signe aigu d'apparition aiguë avec altération importante de l'état général.,Moins de 24 heures,P1,P1,Pédiatrie|Médecine d’urgence,Urgences / évaluation immédiate,Tableau aigu à potentiel critique.
B06-209,Urgences pédiatriques,"enfant avec signe aigu récent et significatif, sans signe de détresse immédiate.",1 à 3 jours,P2,P2,Pédiatrie,Consultation médicale prioritaire,Tableau aigu nécessitant évaluation prioritaire.
B06-210,Urgences pédiatriques,"enfant avec signe aigu stable, connu, sans aggravation depuis plusieurs semaines.",Plus d'une semaine,P3,P3,Pédiatrie,Consultation non urgente / programmée,Problème stable nécessitant suivi programmé.
B06-211,Nutrition pédiatrique,croissance insuffisante récent avec aggravation nette ou retentissement important sur les activités.,1 à 3 jours,P2,P2|P3,Pédiatrie,Consultation médicale prioritaire,Symptôme significatif sans danger immédiat clairement décrit.
B06-212,Nutrition pédiatrique,"croissance insuffisante persistant mais stable depuis plusieurs semaines, sans signe d'alarme.",Plus d'une semaine,P3,P3,Pédiatrie,Consultation non urgente / programmée,Problème persistant stable nécessitant consultation programmée.
B06-213,Nutrition pédiatrique,"croissance insuffisante léger, transitoire et déjà en amélioration, sans signe d'alarme.",1 à 3 jours,P4,P3|P4,Pédiatrie,Conseils / autosurveillance,"Symptôme bénin en amélioration, recours si persistance/aggravation."
B06-214,Maladies éruptives,"fièvre avec éruption avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Pédiatrie|Infectiologie|Dermatologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-215,Maladies éruptives,"fièvre avec éruption depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Pédiatrie|Infectiologie|Dermatologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-216,Maladies éruptives,"fièvre avec éruption léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Pédiatrie|Infectiologie|Dermatologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-217,Paludisme,Forte fièvre en zone palustre avec confusion et convulsions.,Moins de 24 heures,P1,P1,Infectiologie|Médecine tropicale|Médecine d’urgence,Urgences / évaluation immédiate,Signes neurologiques de paludisme grave possible.
B06-218,Paludisme,"Fièvre à 39 °C avec frissons et céphalées en zone palustre, patient conscient et capable de boire.",1 à 3 jours,P2,P2,Infectiologie|Médecine tropicale,Consultation médicale prioritaire,Paludisme possible symptomatique nécessitant test et prise en charge rapide.
B06-219,Paludisme,"Fièvre modérée isolée depuis quelques heures, sans signe de gravité, en zone de transmission.",1 à 3 jours,P2,P2|P3,Infectiologie|Médecine tropicale,Consultation médicale prioritaire,Paludisme à exclure selon contexte épidémiologique.
B06-220,Dengue,"fièvre avec myalgies avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Infectiologie|Médecine tropicale|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-221,Dengue,"fièvre avec myalgies depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Infectiologie|Médecine tropicale,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-222,Dengue,"fièvre avec myalgies léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Infectiologie|Médecine tropicale,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-223,Fièvre jaune,"fièvre avec ictère avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Infectiologie|Médecine tropicale|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-224,Fièvre jaune,"fièvre avec ictère depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Infectiologie|Médecine tropicale,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-225,Fièvre jaune,"fièvre avec ictère léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Infectiologie|Médecine tropicale,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-226,Mpox,"fièvre avec lésions cutanées avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Infectiologie|Dermatologie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-227,Mpox,"fièvre avec lésions cutanées depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Infectiologie|Dermatologie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-228,Mpox,"fièvre avec lésions cutanées léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Infectiologie|Dermatologie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-229,Choléra,"Diarrhée aqueuse très abondante, vomissements, yeux creux, grande faiblesse et presque plus d'urines.",Moins de 24 heures,P1,P1,Infectiologie|Gastro-entérologie|Médecine d’urgence,Urgences / évaluation immédiate,Diarrhée aiguë avec signes de déshydratation sévère.
B06-230,Choléra,"Diarrhée aqueuse fréquente depuis ce matin dans une zone avec choléra, mais le patient boit encore.",1 à 3 jours,P2,P2,Infectiologie|Gastro-entérologie,Consultation médicale prioritaire,Risque cholérique avec besoin de réhydratation et évaluation rapide.
B06-231,Choléra,"Deux selles liquides depuis hier, patient bien hydraté et sans vomissement.",Plus d'une semaine,P3,P3|P4,Infectiologie|Gastro-entérologie,Consultation non urgente / programmée,Diarrhée légère sans déshydratation.
B06-232,Rougeole,"fièvre, toux et éruption avec confusion, faiblesse majeure ou impossibilité de boire.",Moins de 24 heures,P1,P1,Infectiologie|Pédiatrie|Médecine d’urgence,Urgences / évaluation immédiate,Infection avec signe de gravité systémique.
B06-233,Rougeole,"fièvre, toux et éruption depuis deux jours, état général altéré mais patient conscient et capable de boire.",1 à 3 jours,P2,P2,Infectiologie|Pédiatrie,Consultation médicale prioritaire,Infection symptomatique nécessitant évaluation rapide.
B06-234,Rougeole,"fièvre, toux et éruption léger et stable, sans signe de gravité, depuis plusieurs jours.",Plus d'une semaine,P3,P3|P4,Infectiologie|Pédiatrie,Consultation non urgente / programmée,Tableau léger/stable sans danger sign.
B06-235,Méningites,"Fièvre élevée, raideur de nuque et confusion.",Moins de 24 heures,P1,P1,Infectiologie|Neurologie|Médecine d’urgence,Urgences / évaluation immédiate,Méningite/encéphalite sévère possible.
B06-236,Méningites,"Fièvre, céphalée importante et raideur légère de nuque, patient conscient.",Moins de 24 heures,P1,P1|P2,Infectiologie|Neurologie|Médecine d’urgence,Urgences / évaluation immédiate,Méningite possible nécessitant évaluation urgente.
B06-237,Méningites,"Céphalée légère avec rhume, nuque souple et absence de fièvre.",1 à 3 jours,P4,P3|P4,Infectiologie|Neurologie,Conseils / autosurveillance,Absence de signes évocateurs de méningite.
B06-238,Fièvres hémorragiques virales,"Fièvre aiguë, grande faiblesse et saignements spontanés dans une zone sous alerte.",Moins de 24 heures,P1,P1,Infectiologie|Médecine tropicale|Médecine d’urgence,Urgences / évaluation immédiate,Suspicion de fièvre hémorragique virale avec signe de gravité et enjeu de santé publique.
B06-239,Fièvres hémorragiques virales,"Fièvre récente après exposition épidémiologique à risque, sans saignement ni altération majeure.",1 à 3 jours,P2,P1|P2,Infectiologie|Médecine tropicale,Consultation médicale prioritaire,Suspicion épidémiologique nécessitant évaluation/isolation rapide.
